ts,i_bat_raw,u_bat_raw,t_cells,ca_ch,ca_disch
34.36347167,-2.519464455,3.5352459,29.278034,1.075726,6.92E-05
34.364445,-2.879462636,3.5244579,29.278034,1.075726,6.92E-05
34.365405,-3.240325636,3.5134888,29.278034,1.075726,6.92E-05
34.36635167,-3.559760182,3.5034723,29.278034,1.075726,6.92E-05
34.36716333,-3.879544545,3.4931784,29.278034,1.075726,6.92E-05
34.36921,-3.959620636,3.4828405,29.278034,1.075726,6.92E-05
34.37212333,-3.959664909,3.4723015,29.278034,1.075726,6.92E-05
34.37506833,-3.999652818,3.4620533,29.278034,1.075726,6.92E-05
34.37880667,-3.999645455,3.452014,29.278034,1.075726,0.001216461
34.38282833,-3.999958909,3.4420023,29.278034,1.075726,0.001216461
34.38760667,-3.999466,3.4317179,29.278034,1.075726,0.001216461
34.39295833,-3.999628545,3.4216061,29.278034,1.075726,0.001216461
34.39873667,-3.998357182,3.4115047,29.278034,1.075726,0.002592203
34.39873833,-3.998357182,3.4115047,29.286247,1.075726,0.002592203
34.40544167,-3.999616,3.401474,29.286247,1.075726,0.002592203
34.41275167,-3.999664545,3.391222,29.286247,1.075726,0.003743742
34.421125,-3.999779455,3.3811626,29.286247,1.075726,0.003743742
34.43035167,-3.998570455,3.3710117,29.286247,1.075726,0.004978525
34.44067,-3.999850545,3.3609514,29.286247,1.075726,0.004978525
34.45177667,-3.999874818,3.3509312,29.286247,1.075726,0.006597964
34.45177833,-3.999874818,3.3509312,29.254869,1.075726,0.006597964
34.464335,-3.999854455,3.3408976,29.254869,1.075726,0.00751191
34.47795167,-3.999958,3.3306704,29.254869,1.075726,0.008536767
34.493325,-3.999609545,3.3205099,29.273226,1.075726,0.008536767
34.510125,-3.999885182,3.3102226,29.273226,1.075726,0.010873625
34.52876333,-4.000041273,3.3001661,29.273226,1.075726,0.012228788
34.54905167,-3.999399273,3.2901144,29.314926,1.075726,0.013738801
34.57167667,-3.999994,3.2800255,29.314926,1.075726,0.015407496
34.59727333,-4.000132273,3.2699251,29.322582,1.075726,0.017278034
